Title,Label,Date,SourceType,NLP_Confidence,Matched_Localities
Local body elections: Kozhikode ward results announced amid high voter turnout,0,,synthetic,39.9,
Restaurant review roundup: best seafood spots near Kozhikode beach promenade,0,,synthetic,38.9,Kozhikode Beach
Kozhikode Medical College launches new cardiology wing for patient care,0,,synthetic,39.3,Medical College
Kerala government sanctions funds for road widening project in Kozhikode,0,,synthetic,40.6,
"Weather stays pleasant across Kozhikode district through the coming week, IMD confirms",0,,synthetic,41.8,
Kozhikode football club wins state league title after dramatic final,0,,synthetic,37.5,
Rain drenches Kozhikode's cultural festival grounds but crowd spirit stays cheerful,0,,synthetic,37.6,
New drainage design study submitted for future flood-proofing research project,0,,synthetic,39.1,
Kozhikode's monsoon-season tourism sees rise in domestic visitor numbers,0,,synthetic,40.6,
Kozhikode street food festival draws record crowds over the weekend,0,,synthetic,37.0,
Local college hosts hackathon on smart city solutions for Kozhikode,0,,synthetic,39.2,
Kozhikode Corporation launches digital grievance redressal portal for residents,0,,synthetic,39.8,
Malabar handloom exhibition inaugurated at Kozhikode town hall,0,,synthetic,38.1,
Kozhikode-based startup wins state innovation award for water-purification device,0,,synthetic,37.7,
IMD issues red alert for Kozhikode among eight Kerala districts as monsoon rains trigger landslides,1,2026-08-01,real-dated,63.5,
